0,100,150,80,70,90,100,80,90,80,80,100,100
100,0,30,50,20,10000,10000,10000,10000,10000,10000,10000,10000
150,30,0,10,15,10000,10000,10000,10000,10000,10000,10000,10000
80,50,10,0,15,10000,10000,10000,10000,10000,10000,10000,10000
70,20,15,15,0,10000,10000,10000,10000,10000,10000,10000,10000
90,10000,10000,10000,10000,0,5,10,30,10000,10000,10000,10000
100,10000,10000,10000,10000,5,0,5,30,10000,10000,10000,10000
80,10000,10000,10000,10000,10,5,0,10,10000,10000,10000,10000
90,10000,10000,10000,10000,30,30,10,0,10000,10000,10000,10000
80,10000,10000,10000,10000,10000,10000,10000,10000,0,20,15,25
80,10000,10000,10000,10000,10000,10000,10000,10000,20,0,10,15
100,10000,10000,10000,10000,10000,10000,10000,10000,15,10,0,20
100,10000,10000,10000,10000,10000,10000,10000,10000,25,15,20,0
